id;name;start_date;ending_date;state
1;Ergonomic Concrete Soap Zambian Kwacha;2019-12-14;2019-12-15;Bedfordshire
2;portal calculating Metal;2019-12-14;2019-12-14;discrete redundant
3;Synergistic Personal Loan Account Sleek;2019-12-15;2019-12-14;digital deposit
4;extend Unbranded Fresh Pants Tools;2019-12-14;2019-12-15;North Dakota Garden
5;Towels Specialist;2019-12-14;2019-12-14;Computers Small Fresh Gloves back-end
6;interface;2019-12-14;2019-12-14;lavender
7;Club backing up;2019-12-15;2019-12-14;Peru deposit
8;Frozen Analyst card;2019-12-15;2019-12-14;global mindshare
9;Ameliorated;2019-12-15;2019-12-14;navigating
10;Som Rustic Frozen Keyboard ROI;2019-12-14;2019-12-14;microchip
